segment_id,source_line_no,original_start_sec,original_end_sec,original_duration_sec,cut_start_sec,cut_end_sec,cut_duration_sec,ici,file_name,file_path
0,1,98.114078,98.148354,0.03427599999999131,98.09407800000001,98.168354,0.07427599999998336,5.0,click_train_00000_start_98.114s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00000_start_98.114s_ici_5.0.wav
1,2,132.722474,132.769,0.04652600000000007,132.702474,132.78900000000002,0.08652600000002053,5.0,click_train_00001_start_132.722s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00001_start_132.722s_ici_5.0.wav
2,3,133.621458,133.662896,0.04143799999999942,133.60145799999998,133.682896,0.08143800000001988,5.0,click_train_00002_start_133.621s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00002_start_133.621s_ici_5.0.wav
3,4,133.808667,133.840005,0.03133799999997677,133.788667,133.860005,0.07133799999999724,5.0,click_train_00003_start_133.809s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00003_start_133.809s_ici_5.0.wav
4,5,134.487177,134.533021,0.04584399999998823,134.467177,134.553021,0.08584400000000869,5.0,click_train_00004_start_134.487s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00004_start_134.487s_ici_5.0.wav
5,6,173.334349,173.461349,0.12700000000000955,173.314349,173.48134900000002,0.16700000000003,30.0,click_train_00005_start_173.334s_ici_30.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00005_start_173.334s_ici_30.0.wav
6,7,185.627443,185.795516,0.1680729999999926,185.607443,185.815516,0.20807300000001305,35.0,click_train_00006_start_185.627s_ici_35.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00006_start_185.627s_ici_35.0.wav
7,8,196.215177,196.479453,0.2642759999999953,196.195177,196.49945300000002,0.30427600000001576,60.0,click_train_00007_start_196.215s_ici_60.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00007_start_196.215s_ici_60.0.wav
8,9,200.586901,200.863427,0.27652599999998984,200.566901,200.883427,0.3165260000000103,50.0,click_train_00008_start_200.587s_ici_50.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00008_start_200.587s_ici_50.0.wav
9,10,203.613563,203.657932,0.044368999999989,203.593563,203.677932,0.08436900000000946,10.0,click_train_00009_start_203.614s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00009_start_203.614s_ici_10.0.wav
10,11,203.687094,203.775833,0.0887390000000039,203.667094,203.79583300000002,0.12873900000002436,10.0,click_train_00010_start_203.687s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00010_start_203.687s_ici_10.0.wav
11,12,206.110349,206.403969,0.2936199999999758,206.090349,206.423969,0.33361999999999625,40.0,click_train_00011_start_206.110s_ici_40.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00011_start_206.110s_ici_40.0.wav
12,13,206.590891,206.616594,0.025702999999992926,206.570891,206.636594,0.06570300000001339,5.0,click_train_00012_start_206.591s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00012_start_206.591s_ici_5.0.wav
13,14,217.838375,217.876708,0.0383329999999944,217.818375,217.89670800000002,0.07833300000001486,5.0,click_train_00013_start_217.838s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00013_start_217.838s_ici_5.0.wav
14,15,222.782313,223.889167,1.1068539999999985,222.76231299999998,223.909167,1.146854000000019,105.0,click_train_00014_start_222.782s_ici_105.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00014_start_222.782s_ici_105.0.wav
15,16,227.132099,227.678896,0.546796999999998,227.112099,227.69889600000002,0.5867970000000184,70.0,click_train_00015_start_227.132s_ici_70.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00015_start_227.132s_ici_70.0.wav
