file_name,file_path_x,sample_rate,num_samples,duration_sec,rms_energy,peak_amplitude,mean_abs_amplitude,zero_crossing_rate,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_85_hz,dominant_frequency_hz,low_freq_est_hz,high_freq_est_hz,bandwidth_est_hz,estimated_peak_count,estimated_click_rate_per_sec,estimated_mean_ici_sec,estimated_min_ici_sec,segment_id,source_line_no,original_start_sec,original_end_sec,original_duration_sec,cut_start_sec,cut_end_sec,cut_duration_sec,ici,file_path_y
click_train_00010_start_203.687s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00010_start_203.687s_ici_10.0.wav,192000,24717,0.128734375,0.03551272675395012,0.23416852951049805,0.02854716219007969,0.06607056157954362,2667.807469485197,8278.57414527634,2718.75,656.25,93.75,1500.0,1406.25,15,116.51899502366791,0.00813876488095238,0.0012656250000000063,10,11,203.687094,203.775833,0.0887390000000039,203.667094,203.795833,0.1287390000000243,10.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00010_start_203.687s_ici_10.0.wav
click_train_00011_start_206.110s_ici_40.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00011_start_206.110s_ici_40.0.wav,192000,64055,0.33361979166666667,0.041310928761959076,0.32215338945388794,0.032689016312360764,0.060698785399818905,2410.7873548376224,7167.809186940473,1593.75,468.75,0.0,1125.0,1125.0,42,125.89181172429943,0.008042682926829268,0.0012187500000000002,11,12,206.110349,206.403969,0.2936199999999758,206.090349,206.423969,0.3336199999999962,40.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00011_start_206.110s_ici_40.0.wav
click_train_00012_start_206.591s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00012_start_206.591s_ici_5.0.wav,192000,12615,0.065703125,0.04530709236860275,0.16486099362373352,0.0361512266099453,0.05707943554780403,2015.4063375801056,6044.957476643111,1968.75,750.0,375.0,1781.25,1406.25,8,121.75980975029726,0.0039330357142857136,0.0019374999999999948,12,13,206.590891,206.616594,0.0257029999999929,206.570891,206.636594,0.0657030000000133,5.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00012_start_206.591s_ici_5.0.wav
click_train_00013_start_217.838s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00013_start_217.838s_ici_5.0.wav,192000,15039,0.078328125,0.028977002948522568,0.11972410976886749,0.023193584755063057,0.07860087777630004,2767.5000316790533,9022.957575974924,2250.0,468.75,187.5,1593.75,1406.25,13,165.96848194693797,0.006360677083333333,0.0024739583333333315,13,14,217.838375,217.876708,0.0383329999999944,217.818375,217.896708,0.0783330000000148,5.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00013_start_217.838s_ici_5.0.wav
click_train_00014_start_222.782s_ici_105.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00014_start_222.782s_ici_105.0.wav,192000,220196,1.1468541666666667,0.01835310459136963,0.5028534531593323,0.01426174771040678,0.12785031449397125,6215.557273645243,14940.211136995225,8250.0,375.0,93.75,1406.25,1312.5,181,157.8230303911061,0.006325028935185184,0.0010000000000000009,14,15,222.782313,223.889167,1.1068539999999985,222.762313,223.909167,1.146854000000019,105.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00014_start_222.782s_ici_105.0.wav
click_train_00015_start_227.132s_ici_70.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00015_start_227.132s_ici_70.0.wav,192000,112665,0.586796875,0.0348840206861496,0.19953002035617828,0.027523066848516464,0.07094546616487964,2789.043954374619,7830.133980002976,3750.0,843.75,93.75,3750.0,3656.25,90,153.37504992677407,0.006542837078651685,0.0010208333333333458,15,16,227.132099,227.678896,0.546796999999998,227.112099,227.698896,0.5867970000000184,70.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00015_start_227.132s_ici_70.0.wav
click_train_00016_start_229.168s_ici_15.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00016_start_229.168s_ici_15.0.wav,192000,29512,0.15370833333333334,0.030929114669561386,0.22638630867004395,0.024737827479839325,0.0694317373182881,2649.893787031812,8632.739152000784,1593.75,1031.25,281.25,1218.75,937.5,24,156.1398753049607,0.004624320652173913,0.001114583333333332,16,17,229.167771,229.281484,0.1137130000000183,229.147771,229.301484,0.1537130000000388,15.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00016_start_229.168s_ici_15.0.wav
click_train_00017_start_229.313s_ici_95.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00017_start_229.313s_ici_95.0.wav,192000,130480,0.6795833333333333,0.026675749570131302,0.21649830043315887,0.021328505128622055,0.08133875949386492,3131.0578732332965,9461.843925415036,3468.75,843.75,93.75,1687.5,1593.75,115,169.22133660331085,0.005827576754385965,0.0010000000000000009,17,18,229.312719,229.952307,0.6395880000000034,229.292719,229.972307,0.6795880000000238,95.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00017_start_229.313s_ici_95.0.wav
click_train_00018_start_230.685s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00018_start_230.685s_ici_5.0.wav,192000,14367,0.074828125,0.02402784675359726,0.08960234373807907,0.019217105582356453,0.09480718362801058,3917.186327046011,10971.172165239845,4218.75,843.75,0.0,1781.25,1781.25,14,187.09542702025476,0.004780048076923077,0.0010000000000000009,18,19,230.684724,230.719557,0.0348330000000203,230.664724,230.739557,0.0748330000000407,5.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00018_start_230.685s_ici_5.0.wav
click_train_00019_start_232.237s_ici_85.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00019_start_232.237s_ici_85.0.wav,192000,153751,0.8007864583333333,0.03547227382659912,0.9936216473579407,0.02669304981827736,0.07140813008130081,4475.479686994777,11322.227696338781,3656.25,1031.25,0.0,3656.25,3656.25,80,99.90178925665525,0.009964464662447258,0.0010104166666666803,19,20,232.237146,232.997937,0.7607910000000118,232.217146,233.017937,0.8007910000000322,85.0,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_00019_start_232.237s_ici_85.0.wav
