window_start_sec,window_end_sec,window_mid_min,whistle_count,click_train_count,whistle_cluster0_count,click_cluster0_count,whistle_cluster1_count,click_cluster1_count,whistle_cluster2_count,click_cluster2_count,whistle_cluster0_ratio,click_cluster0_ratio,whistle_cluster1_ratio,click_cluster1_ratio,whistle_cluster2_ratio,click_cluster2_ratio,mean_official_ici,min_official_ici,mean_click_rate,mean_click_energy,mean_whistle_energy,mean_whistle_centroid,mean_whistle_bandwidth,foraging_score,social_score,arousal_score,conflict_like_score,avoidance_stress_score,courtship_affiliative_score,positive_like_score,negative_like_score,final_behavior_candidate,confidence,valence_candidate,arousal_level
0.0,30.0,0.25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-activity / no annotated acoustic event,low,unknown / mixed,low
30.0,60.0,0.75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-activity / no annotated acoustic event,low,unknown / mixed,low
60.0,90.0,1.25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-activity / no annotated acoustic event,low,unknown / mixed,low
90.0,120.0,1.75,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,80.77974896571068,0.0481824092566967,,,,0.31029475929329803,0.006349206349206349,0.0,0.047830886737249306,0.0,0.0,0.09711104258862238,0.015788429405656303,Foraging-like acoustic activity,low,positive-like candidate,low
120.0,150.0,2.25,0,4,0,0,0,4,0,0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,124.83792110991108,0.03947495482861993,,,,0.3431801905845598,0.025396825396825397,0.0,0.04928447810369321,0.0,0.0,0.1167562947020594,0.013440043526768813,Foraging-like acoustic activity,low,positive-like candidate,low
150.0,180.0,2.75,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,30.0,71.8562874251497,0.0332550108432769,,,,0.2492863781471829,0.006349206349206349,0.0,0.03399591777895422,0.0,0.0,0.0799085998749706,0.010946190270253025,Foraging-like acoustic activity,low,unknown / mixed,low
180.0,210.0,3.25,0,7,0,0,0,7,0,0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,5.0,131.54454046885104,0.03622064686247276,,,,0.29383824784208734,0.044444444444444446,0.0,0.05579213917045463,0.0,0.0,0.10610574499359418,0.012860582042992449,Foraging-like acoustic activity,low,positive-like candidate,low
210.0,240.0,3.75,6,13,6,0,0,13,0,0,1.0,0.0,0.0,1.0,0.0,0.0,41.92307692307692,5.0,126.43486759020827,0.03618600448736773,0.029870675566295746,3367.861392702506,2156.25,0.26410460782811224,0.6125396825396826,0.0678152947784028,0.23037528819841663,0.05181385562471979,0.2386516398423133,0.2860134195169915,0.025629692475297894,Social communication candidate,medium,positive-like candidate,low
240.0,270.0,4.25,0,30,0,12,0,18,0,0,0.0,0.4,0.0,0.6,0.0,0.0,41.0,5.0,73.37998882155257,0.0668547254055738,,,,0.22651063962600937,0.19047619047619047,0.0,0.15720020176765206,0.0636424516751462,0.15182926029269628,0.1019223361343068,0.055087745301065444,Foraging-like acoustic activity,low,unknown / mixed,low
270.0,300.0,4.75,3,2,3,0,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,67.5,65.0,67.87065678770657,0.055977746844291604,0.042733923842509534,2089.6801357718937,1562.5,0.16478972707416908,0.4526984126984127,0.03789930843920353,0.21619557855385205,0.10217474308993928,0.13704103411249102,0.1709883308516045,0.06132218666739968,Social communication candidate,medium,positive-like candidate,low
300.0,330.0,5.25,3,4,3,0,0,4,0,0,1.0,0.0,0.0,1.0,0.0,0.0,120.0,75.0,99.78742086531759,0.0387018788605928,0.04274311165014897,1923.198014414352,4343.75,0.07448226317374784,0.4653968253968254,0.04476058733849786,0.20653492658279313,0.013546772617659273,0.17227275252488228,0.1701501924101304,0.01752586564010003,Social communication candidate,medium,positive-like candidate,low
330.0,360.0,5.75,0,9,0,3,0,6,0,0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,76.66666666666667,15.0,86.81413411972306,0.053216359681553256,,,,0.15900177929776313,0.05714285714285714,0.0,0.07789326375510439,0.0,0.02119241996085506,0.057996929341971495,0.018691213742857964,Uncertain mixed acoustic state,low,unknown / mixed,low
360.0,390.0,6.25,0,9,0,1,0,8,0,0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,63.888888888888886,10.0,107.27383683916999,0.05616604785124457,,,,0.20205087032516653,0.05714285714285714,0.0,0.08062708535844837,0.0,0.012035837434705585,0.07224396472055948,0.019648051304028358,Uncertain mixed acoustic state,low,unknown / mixed,low
390.0,420.0,6.75,1,4,1,0,0,4,0,0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,45.0,101.22256676581108,0.045679327100515324,0.0408219397068023,1649.6176928837192,1031.25,0.21685781730746706,0.4053968253968254,0.02021988754611486,0.21264365538937255,0.0,0.11557589593682253,0.19453571086937316,0.017659733085979554,Social communication candidate,medium,positive-like candidate,low
420.0,450.0,7.25,0,20,0,4,0,16,0,0,0.0,0.2,0.0,0.8,0.0,0.0,41.25,10.0,104.58941745603317,0.04852594714611763,,,,0.24926217046446417,0.12698412698412698,0.0,0.10846674386468985,0.0625385243581803,0.08083516951512157,0.09620996255646755,0.047058077266203535,Foraging-like acoustic activity,low,unknown / mixed,low
450.0,480.0,7.75,2,18,1,11,1,7,0,0,0.5,0.6111111111111112,0.5,0.3888888888888889,0.0,0.0,36.94444444444444,10.0,71.18523776178269,0.07210124697950149,0.07134392857551575,7779.7821495378685,12562.5,0.23368888205183844,0.34928571428571425,0.24920980258887596,0.28726542482560435,0.18105379045129907,0.23870199576736856,0.10752660508620879,0.17946620776696418,Social communication candidate,low,unknown / mixed,low
480.0,510.0,8.25,1,3,1,0,0,3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,73.33333333333333,65.0,91.56652044563124,0.04814730584621423,0.0432605929672718,1767.5326657796984,3843.75,0.16979538166103647,0.39904761904761904,0.028999828786043763,0.2122109612619866,0.06054781669586501,0.11745587427253826,0.16019956960022913,0.04746317685490046,Social communication candidate,low,positive-like candidate,low
510.0,540.0,8.75,1,2,1,0,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,7.5,5.0,110.76320036466345,0.06056473590433595,0.055382166057825,1532.484849520272,1593.75,0.3272399049219326,0.3926984126984127,0.021070646220170186,0.22280440232572232,0.0,0.07622923378856424,0.22440693173924542,0.023290908153274947,Social communication candidate,low,positive-like candidate,low
540.0,570.0,9.25,1,1,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,20.0,121.68207575305698,0.0449610203504562,0.0399952642619609,1689.6078169441705,1500.0,0.30821594247530704,0.38634920634920633,0.02181404371391091,0.20230002164964406,0.0,0.07651585479405741,0.2210427162286071,0.017215435367776644,Social communication candidate,low,positive-like candidate,low
570.0,600.0,9.75,0,5,0,0,0,5,0,0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,5.0,123.32078319577722,0.04018616080284112,,,,0.29856952380239055,0.031746031746031744,0.0,0.05311823917733513,0.0,0.0,0.10284957586335045,0.013829478950162531,Foraging-like acoustic activity,low,positive-like candidate,low
600.0,630.0,10.25,0,5,0,0,0,5,0,0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,30.0,113.86202623594008,0.04089698940515514,,,,0.232813767067503,0.031746031746031744,0.0,0.05377704732161576,0.0,0.0,0.07963741856285561,0.014060061800660755,Foraging-like acoustic activity,low,unknown / mixed,low
630.0,660.0,10.75,0,9,0,0,0,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,68.88888888888889,35.0,112.91385279128313,0.04234687963293654,,,,0.1953910657049191,0.05714285714285714,0.0,0.06781924315884104,0.003158872611794608,0.015929366798676528,0.07296566761040643,0.016586799209473365,Uncertain mixed acoustic state,low,unknown / mixed,low
660.0,690.0,11.25,0,2,0,0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,77.5,75.0,69.20192746568799,0.0511149391531944,,,,0.14404426951050653,0.012698412698412698,0.0,0.053723408933216844,0.01338614456620902,0.0,0.036666221221445694,0.022922196276658046,Uncertain mixed acoustic state,low,unknown / mixed,low
690.0,720.0,11.75,0,16,0,8,0,8,0,0,0.0,0.5,0.0,0.5,0.0,0.0,40.9375,10.0,91.03726641404342,0.06835146015509959,,,,0.23982606614511254,0.10158730158730159,0.0,0.11414295676848235,0.05305927911142217,0.051110957322042926,0.08214570205667485,0.048588615231013564,Foraging-like acoustic activity,low,unknown / mixed,low
720.0,750.0,12.25,0,2,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,77.5,55.0,80.29247617398096,0.04991326294839375,,,,0.1523223586771487,0.012698412698412698,0.0,0.05260967480950023,0.04396261300939452,0.0,0.03225355555608905,0.036291800132790715,Uncertain mixed acoustic state,low,unknown / mixed,low
750.0,780.0,12.75,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,95.0,69.26038284812036,0.0621343851089477,,,,0.10604442289318977,0.006349206349206349,0.0,0.06076181733056989,0.0,0.0,0.02174414567058831,0.020314255113318507,Uncertain mixed acoustic state,low,unknown / mixed,low
780.0,810.0,13.25,1,2,1,0,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,32.5,20.0,108.42483241725071,0.0479303281754255,0.0483455136418342,1544.6912841766346,1781.25,0.2711466991533895,0.3926984126984127,0.021683929970629318,0.20978304495819536,0.0,0.09005214641577824,0.20868071693051343,0.01885608982473233,Social communication candidate,low,positive-like candidate,low
810.0,840.0,13.75,3,4,3,0,0,4,0,0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,20.0,94.63497785305037,0.05440445058047765,0.04756994172930714,2232.791877212788,1468.75,0.21194077940002437,0.4653968253968254,0.038552571259319185,0.2219880190917273,0.003512624835563735,0.14169043077784013,0.21613328228217088,0.01717747830044826,Social communication candidate,medium,positive-like candidate,low
840.0,870.0,14.25,4,6,4,0,0,6,0,0,1.0,0.0,0.0,1.0,0.0,0.0,46.666666666666664,5.0,104.03261228488402,0.04211357856790218,0.04231031890958545,2326.792318384786,1593.75,0.23707120356406006,0.508095238095238,0.04618045206805978,0.2159654859089897,0.0,0.16660694781967572,0.24682813261758124,0.00860972476747264,Social communication candidate,medium,positive-like candidate,low
