final_behavior_candidate,windows,mean_foraging_score,mean_social_score,mean_arousal_score,mean_conflict_like_score,mean_avoidance_stress_score,mean_positive_like_score,mean_negative_like_score,total_whistles,total_click_trains
Foraging-like acoustic activity,83,0.4489515455796404,0.12483457640084146,0.10830067937691273,0.232902457678438,0.10159688482245263,0.11805190853999412,0.13016940777281333,39,1554
Social communication candidate,65,0.2516657881899047,0.5086752136752137,0.07254223067109342,0.2649528694575811,0.06707166158119032,0.22073309578774086,0.06323560660104274,219,988
Uncertain mixed acoustic state,20,0.17741255443173984,0.045396825396825394,0.0,0.0783175185796903,0.024617240901583813,0.05287339968037733,0.03167936609908051,0,143
Conflict-like high-intensity activity,14,0.3892534298766462,0.19601190476190475,0.3855564309650629,0.5368822898973027,0.32744957154439075,0.024409763630152483,0.38297060913775866,33,415
Low-activity / no annotated acoustic event,9,0.0,0.0,0.0,0.0,0.05,0.0,0.022500000000000003,0,0
Avoidance / stress-like arousal,6,0.35047666112534354,0.1880423280423281,0.5261082235710052,0.4002664673722429,0.4715497206414163,0.007560609682349832,0.4293059333767742,12,223
