cluster,count,duration_sec,rms_energy,peak_amplitude,mean_abs_amplitude,zero_crossing_rate,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_85_hz,dominant_frequency_hz,low_freq_est_hz,high_freq_est_hz,bandwidth_est_hz
0,211,0.6805953544628752,0.05554781849738824,0.3972516291514392,0.04249687707801984,0.050084774730702705,2194.6677229356633,6256.826929588301,2727.6362559241707,682.0201421800948,54.65047393364929,2188.240521327014,2133.590047393365
1,71,0.6212922535211268,0.1299466030593489,0.9972301226266673,0.06624950877797431,0.08684208609637387,20051.89423067988,17450.339444737154,36550.616197183095,4291.37323943662,72.62323943661971,28264.964788732395,28192.341549295776
2,21,0.49864310515873017,0.3434752992221287,0.9982749762989226,0.2426633937727837,0.12892166112332623,16565.89874157305,12997.823813584775,28950.89285714286,8522.32142857143,3008.9285714285716,21000.0,17991.071428571428
