file_name,file_path,sample_rate,num_samples,duration_sec,rms_energy,peak_amplitude,mean_abs_amplitude,zero_crossing_rate,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_85_hz,dominant_frequency_hz,low_freq_est_hz,high_freq_est_hz,bandwidth_est_hz
121_whistle.wav,/Users/nfot413/dolphin_project/data/segments/121_whistle.wav,192000,105892,0.5515208333333333,0.4218600392341614,1.0,0.29835519194602966,0.1588410833679598,24066.756755959286,18424.41734431805,43968.75,6656.25,6093.75,11062.5,4968.75
122_whistle.wav,/Users/nfot413/dolphin_project/data/segments/122_whistle.wav,192000,178282,0.9285520833333333,0.41509342193603516,1.0,0.29252153635025024,0.15495675390673203,24518.392780935465,18103.852328523128,43593.75,6562.5,6093.75,45656.25,39562.5
123_whistle.wav,/Users/nfot413/dolphin_project/data/segments/123_whistle.wav,192000,56640,0.295,0.4522247612476349,0.9993896484375,0.31408560276031494,0.21283545197740114,26667.89902197473,17708.28202643957,42937.5,6656.25,375.0,34312.5,33937.5
124_whistle.wav,/Users/nfot413/dolphin_project/data/segments/124_whistle.wav,192000,80448,0.419,0.35278213024139404,1.0,0.21966657042503357,0.1839200477326969,27201.640675507628,16811.230319375056,39093.75,33093.75,281.25,45468.75,45187.5
125_whistle.wav,/Users/nfot413/dolphin_project/data/segments/125_whistle.wav,192000,28032,0.146,0.17290447652339935,0.9954222440719604,0.10142726451158524,0.1872859589041096,19929.34703528705,14497.862636991595,35625.0,3937.5,93.75,46406.25,46312.5
126_whistle.wav,/Users/nfot413/dolphin_project/data/segments/126_whistle.wav,192000,122304,0.637,0.39748457074165344,0.999908447265625,0.2894631624221802,0.18946232339089483,23070.922583706193,17928.055496845638,42468.75,6750.0,93.75,34125.0,34031.25
127_whistle.wav,/Users/nfot413/dolphin_project/data/segments/127_whistle.wav,192000,99665,0.5190885416666666,0.2490328550338745,1.0,0.12020710110664368,0.13624642552551047,21475.81087896482,16086.805722174819,32062.5,23531.25,0.0,25031.25,25031.25
128_whistle.wav,/Users/nfot413/dolphin_project/data/segments/128_whistle.wav,192000,119808,0.624,0.1922311782836914,0.99908447265625,0.09074182063341141,0.14246127136752137,26480.022755358976,16924.319174808745,42468.75,3843.75,281.25,45375.0,45093.75
129_whistle.wav,/Users/nfot413/dolphin_project/data/segments/129_whistle.wav,192000,52992,0.276,0.1135336309671402,0.9943235516548157,0.055459026247262955,0.08357865338164251,17698.353058533023,11271.337491667622,26062.5,656.25,93.75,33093.75,33000.0
130_whistle.wav,/Users/nfot413/dolphin_project/data/segments/130_whistle.wav,192000,66048,0.344,0.1492234766483307,0.9973754286766052,0.06520679593086243,0.09140322189922481,26010.461894997217,18147.235546617987,38437.5,7031.25,93.75,35062.5,34968.75
